127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000652
127.0.0.1, 2015-08-20 02:49:58, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000617
127.0.0.1, 2015-08-20 02:49:58, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000635
127.0.0.1, 2015-08-20 02:49:58, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000641
127.0.0.1, 2015-08-20 02:49:58, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000570
127.0.0.1, 2015-08-20 02:49:59, GET, /admin/default/site, HTTP/1.1, 200, 0.061124
127.0.0.1, 2015-08-20 02:49:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
127.0.0.1, 2015-08-20 02:49:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2015-08-20 02:50:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2015-08-20 02:50:36, POST, /admin/default/site, HTTP/1.1, 303, 0.154942
127.0.0.1, 2015-08-20 02:50:36, GET, /admin/default/design/test1, HTTP/1.1, 200, 0.152823
127.0.0.1, 2015-08-20 02:50:36, GET, /admin/static/_2.12.3/images/search.png, HTTP/1.1, 200, 0.000638
127.0.0.1, 2015-08-20 02:50:36, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.000624
127.0.0.1, 2015-08-20 02:50:36, GET, /admin/static/_2.12.3/images/delete_icon.png, HTTP/1.1, 200, 0.001024
127.0.0.1, 2015-08-20 02:50:36, GET, /admin/static/_2.12.3/images/test_icon.png, HTTP/1.1, 200, 0.000477
127.0.0.1, 2015-08-20 02:50:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000436
127.0.0.1, 2015-08-20 02:50:58, GET, /admin/default/index, HTTP/1.1, 303, 0.008432
127.0.0.1, 2015-08-20 02:50:58, GET, /admin/default/site, HTTP/1.1, 200, 0.051752
127.0.0.1, 2015-08-20 02:51:00, GET, /test1/default/index, HTTP/1.1, 200, 0.806013
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000898
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000663
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000645
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000658
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/js/jquery.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/css/calendar.css, HTTP/1.1, 200, 0.000717
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/js/calendar.js, HTTP/1.1, 200, 0.000742
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/js/web2py.js, HTTP/1.1, 200, 0.000613
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000730
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000684
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/js/share.js, HTTP/1.1, 200, 0.000888
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/images/background.jpg, HTTP/1.1, 200, 0.000638
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000455
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/images/twitter.png, HTTP/1.1, 200, 0.000652
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/images/facebook.png, HTTP/1.1, 200, 0.001320
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/images/gplus-32.png, HTTP/1.1, 200, 0.000454
127.0.0.1, 2015-08-20 02:51:01, GET, /test1/static/images/favicon.ico, HTTP/1.1, 200, 0.000550
127.0.0.1, 2015-08-20 02:51:07, GET, /admin/default/site, HTTP/1.1, 200, 0.049770
127.0.0.1, 2015-08-20 02:51:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000445
127.0.0.1, 2015-08-20 02:51:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2015-08-20 02:51:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2015-08-20 02:51:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.026857
127.0.0.1, 2015-08-20 02:51:10, GET, /admin/default/site, HTTP/1.1, 200, 0.062138
127.0.0.1, 2015-08-20 02:51:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2015-08-20 02:51:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2015-08-20 02:51:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000474
127.0.0.1, 2015-08-20 02:52:30, GET, /admin/default/pack/test1, HTTP/1.1, 200, 0.228272
127.0.0.1, 2015-08-20 02:52:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000518
127.0.0.1, 2015-08-20 03:04:44, GET, /admin/default/uninstall/test1, HTTP/1.1, 200, 0.061834
127.0.0.1, 2015-08-20 03:04:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000354
127.0.0.1, 2015-08-20 03:04:46, POST, /admin/default/uninstall/test1, HTTP/1.1, 303, 0.212518
127.0.0.1, 2015-08-20 03:04:46, GET, /admin/default/site, HTTP/1.1, 200, 0.049888
127.0.0.1, 2015-08-20 03:04:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000311
127.0.0.1, 2015-08-20 03:05:43, POST, /admin/default/site, HTTP/1.1, 303, 0.087298
127.0.0.1, 2015-08-20 03:05:43, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.155910
127.0.0.1, 2015-08-20 03:05:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000489
127.0.0.1, 2015-08-20 03:07:27, POST, /admin/default/create_file, HTTP/1.1, 303, 0.040345
127.0.0.1, 2015-08-20 03:07:27, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.111360
127.0.0.1, 2015-08-20 03:07:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000532
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 0.099997
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000533
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000618
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000630
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000439
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000339
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001836
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000485
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000631
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.000800
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000662
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000638
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000645
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001249
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001013
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000627
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000621
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000487
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000489
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000670
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000492
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000518
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000485
127.0.0.1, 2015-08-20 03:07:35, GET, /admin/static/_2.12.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000531
